filename,caption
page_7_4_img_in_image_box_1172_347_2200_1238.jpg,"an illustration of a mountain scene with a sun, stars, and clouds"
page_12_10_img_in_image_box_1560_435_1896_649.jpg,there is a woman holding a baby and a man wearing a face mask
page_32_36_img_in_image_box_180_317_2017_959.jpg,there are four different types of food that are shown in this diagram
page_29_33_img_in_image_box_13_231_2191_1107.jpg,there is a picture of a brochure with a man in a suit and tie
page_25_19_img_in_chart_box_216_343_1974_940.jpg,a diagram showing the three stages of a service delivery process
page_20_16_img_in_image_box_970_1_1852_1238.jpg,an image of a web page with a man working on a computer
page_27_23_img_in_image_box_216_675_414_858.jpg,an image of a red eye on a pink background
page_3_1_img_in_image_box_716_88_1465_1190.jpg,two smartphones with crypt time displayed on them on a pink background
page_34_38_img_in_image_box_490_246_1701_1063.jpg,a black and white poster with the words smart interface design patterns
page_31_35_img_in_chart_box_414_171_1784_1179.jpg,"there are two circles with the words the problem, service product, and unrelated attributes"
page_17_13_img_in_image_box_84_237_2151_1025.jpg,a diagram of the stages of a plant life cycle
page_28_27_img_in_image_box_1243_423_1491_614.jpg,a red brain with a light bulb inside of it
page_8_5_img_in_image_box_81_269_2117_1066.jpg,three different types of a device that are connected to each other
page_28_32_img_in_image_box_986_309_1149_530.jpg,portrait of a young girl with braids and a red dress
page_33_37_img_in_image_box_618_163_1671_1140.jpg,a black and white poster with the words smart interface design patterns
page_28_31_img_in_image_box_798_309_957_531.jpg,portrait of a woman with a blue turban and a necklace
page_11_7_img_in_image_box_1683_0_2200_524.jpg,an illustration of a woman reading a book with the words service on it
page_39_41_img_in_image_box_1163_91_2200_1237.jpg,there is a rooster that is standing in the middle of some balloons
page_18_14_img_in_image_box_82_242_2150_1026.jpg,diagram showing the stages of the bott cycle
page_28_29_img_in_image_box_72_626_586_838.jpg,three different pictures of a woman with a knife and a child
page_1_0_img_in_image_box_1169_347_2199_1236.jpg,an illustration of a colorful mountain scene with stars and clouds
page_27_26_img_in_image_box_1702_581_2060_952.jpg,a red light bulb with arrows around it in a circle
page_26_21_img_in_image_box_1113_483_1377_745.jpg,a red circle with a white outline of a sword and stars
page_38_40_img_in_image_box_85_272_878_1032.jpg,there is a woman that is sitting at a table with a laptop
page_13_11_img_in_image_box_392_311_1714_1059.jpg,an image of a set of different types of paper with icons
page_21_17_img_in_image_box_964_1_1860_1233.jpg,a screenshot of a website page with a man in a chef ' s uniform
page_27_24_img_in_image_box_663_356_1010_724.jpg,a light bulb in a circle with dots around it
page_26_20_img_in_image_box_1113_104_1378_366.jpg,a red circle with a white outline of a rocket and stars
page_27_25_img_in_image_box_1243_443_1491_639.jpg,an image of a brain with a light bulb inside of it
page_6_3_img_in_image_box_4_0_2197_1236.jpg,there is a person holding a cell phone in their hand
page_28_30_img_in_image_box_606_308_771_532.jpg,there is a young boy that is smiling and holding a tablet
page_12_8_img_in_image_box_680_349_1060_672.jpg,smiling woman holding a baby in her arms and smiling
page_30_34_img_in_chart_box_215_343_1974_940.jpg,a diagram showing the three stages of a service delivery process
page_16_12_img_in_image_box_72_240_2140_911.jpg,illustration of a diagram showing the stages of the process
page_12_9_img_in_image_box_1114_852_1453_1074.jpg,there is a woman talking to a group of people in a lab
page_35_39_img_in_image_box_536_89_1826_1238.jpg,there is a bowl of food that is sitting on a table
page_19_15_img_in_image_box_296_222_2160_1237.jpg,a screenshot of a website page with an image of two people on a stage
page_28_28_img_in_image_box_1624_482_2174_859.jpg,an open book with a picture of a woman in a headscarf
page_5_2_img_in_image_box_256_139_2066_1150.jpg,illustration of a living room with a blue couch and two framed pictures
page_22_18_img_in_image_box_679_0_2150_1235.jpg,an image of a web page with a bunch of information on it
page_10_6_img_in_chart_box_0_0_2199_1182.jpg,the fundamentals of storytelling infographic
page_26_22_img_in_image_box_1112_862_1378_1123.jpg,a red circle with a white line drawing of a brain
