filename,caption
img_in_table_box_185_135_1035_1443.jpg,an image of a table with a list of items and numbers
img_in_table_box_185_132_1033_165.jpg,there is a black and white photo of a clock on a wall
img_in_image_box_218_1023_299_1098.jpg,the blue wrenet is sitting on top of a white background
img_in_table_box_184_134_1049_1437.jpg,an image of a table with several different types of business plans
img_in_table_box_191_1126_1052_1398.jpg,the table shows a number of different types of business items
img_in_table_box_185_134_1035_1415.jpg,an image of a table with several different types of information
img_in_table_box_185_133_1034_358.jpg,a table with a number of different types of documents
img_in_image_box_1186_656_2880_1619.jpg,there are many different types of credit cards on this page
img_in_image_box_1144_548_2880_1620.jpg,there is a screenshot of a dashboard with a number of graphs
img_in_image_box_2081_330_2637_1454.jpg,an image of a cell phone with a smiley face on the screen
img_in_image_box_1539_377_2703_1205.jpg,an image of a flow diagram showing the different types of chargebacks
img_in_table_box_185_133_1040_625.jpg,the table shows a number of different types of information
img_in_table_box_185_181_1035_1098.jpg,the table shows the number of different types of jobs in each country
img_in_image_box_168_1205_411_1449.jpg,a qr code is shown on a white background
img_in_table_box_1179_573_2880_1620.jpg,screenshot of a table with a number of items on it
img_in_image_box_1667_811_2866_1527.jpg,a screenshot of a dashboard with a number of items on it
img_in_table_box_184_895_1034_1074.jpg,this is an image of a table with a list of projects
img_in_table_box_191_134_1053_1426.jpg,a table with a list of different types of medical equipment
img_in_image_box_1569_466_1644_537.jpg,the logo of a blue robot with two eyes on it
img_in_table_box_185_135_1035_1271.jpg,a table with a list of different types of jobs in pakistan
img_in_image_box_135_525_1691_1414.jpg,two screenshots of a computer with a phone and a tablet on it
img_in_table_box_184_774_1040_1438.jpg,an image of a table with several different types of documents
img_in_image_box_148_566_2725_1364.jpg,several different logos are shown on a white background
img_in_image_box_1924_638_2387_1282.jpg,a screenshot of a person holding a stuffed animal next to a cell phone
img_in_image_box_2282_721_2879_1037.jpg,an image of a keyboard with different types of text on it
img_in_image_box_48_382_2859_1620.jpg,the diagram shows a man standing in front of a large number of different platforms
img_in_image_box_191_651_273_727.jpg,blue and white circular sign with two arrows pointing in opposite directions
