filename,caption
page_7_4_img_in_image_box_1172_347_2200_1238.jpg,digital art selected for the #
page_12_10_img_in_image_box_1560_435_1896_649.jpg,a man wearing a face mask looks down at a child.
page_32_36_img_in_image_box_180_317_2017_959.jpg,this image may contain text menu and menu
page_29_33_img_in_image_box_13_231_2191_1107.jpg,"a picture of a brochure with the text truth what happens if, after departure, the letter doesn ' t get executed or the instructions are unclear"
page_25_19_img_in_chart_box_216_343_1974_940.jpg,illustration of a red circle with the words ` ` deliver ' '
page_20_16_img_in_image_box_970_1_1852_1238.jpg,website design for a website.
page_27_23_img_in_image_box_216_675_414_858.jpg,this image may contain text and symbol
page_3_1_img_in_image_box_716_88_1465_1190.jpg,contest entry # 11 for design a logo for a stock crypto app
page_34_38_img_in_image_box_490_246_1701_1063.jpg,this image may contain text and symbol
page_31_35_img_in_chart_box_414_171_1784_1179.jpg,the problem - - uninterrupted attributes
page_17_13_img_in_image_box_84_237_2151_1025.jpg,a diagram showing the differences between confrontation and conflict.
page_1_0_img_in_image_box_16_638_703_1221.jpg,a collage of photos on a white background
page_28_27_img_in_image_box_1243_423_1491_614.jpg,illustration of a brain with a lightbulb
page_1_0_img_in_image_box_85_581_505_910.jpg,this diagram shows the structure of the skin.
page_8_5_img_in_image_box_81_269_2117_1066.jpg,graphic showing the design of the user.
page_28_32_img_in_image_box_986_309_1149_530.jpg,a girl in a red dress
page_33_37_img_in_image_box_618_163_1671_1140.jpg,this image may contain text and symbol
page_2_1_img_in_image_box_339_126_765_375.jpg,diagram of the spinal cord
page_28_31_img_in_image_box_798_309_957_531.jpg,a portrait of a woman.
page_11_7_img_in_image_box_1683_0_2200_524.jpg,illustration of a face painting and a painting.
page_39_41_img_in_image_box_1163_91_2200_1237.jpg,digital art selected for the #
page_6_5_img_in_image_box_0_302_893_1111.jpg,fish swimming around a coral reef.
page_18_14_img_in_image_box_82_242_2150_1026.jpg,a diagram showing the action of the situation.
page_28_29_img_in_image_box_72_626_586_838.jpg,a collage of photos of a woman smiling.
page_1_0_img_in_image_box_1169_347_2199_1236.jpg,an illustration of a cloud and a moon.
page_4_3_img_in_image_box_82_124_700_450.jpg,schematic diagram of the system
page_3_2_img_in_table_box_84_125_764_288.jpg,a text description generated with very high confidence
page_27_26_img_in_image_box_1702_581_2060_952.jpg,a red circle with a lightbulb and arrows pointing up.
page_26_21_img_in_image_box_1113_483_1377_745.jpg,red circle with a sword on it
page_3_2_img_in_image_box_0_302_893_1110.jpg,the chicago skyline at dusk
page_38_40_img_in_image_box_85_272_878_1032.jpg,the narrative web storytelling applied to ux ui design
page_13_11_img_in_image_box_392_311_1714_1059.jpg,this is an illustration of a sheet of paper with a chart and a document with the text ' fact '.
page_21_17_img_in_image_box_964_1_1860_1233.jpg,a screenshot of the website.
page_27_24_img_in_image_box_663_356_1010_724.jpg,a pink circle with a lightbulb inside
page_26_20_img_in_image_box_1113_104_1378_366.jpg,a red circle with a ring and a planet in it.
page_27_25_img_in_image_box_1243_443_1491_639.jpg,illustration of a brain with a lightbulb inside
page_6_3_img_in_image_box_4_0_2197_1236.jpg,a hand holding a cell phone with an image of an accc website on the screen.
page_28_30_img_in_image_box_606_308_771_532.jpg,a young boy smiles at the camera.
page_12_8_img_in_image_box_680_349_1060_672.jpg,a mother holding her child.
page_30_34_img_in_chart_box_215_343_1974_940.jpg,illustration of a red circle with the words ` ` deliver ' '
page_1_0_img_in_image_box_116_279_546_806.jpg,"jacket is made from high quality polyester and has a zippered front and back. the jacket features a zipped front, zip - up pocket, and zip fastening at the front."
page_1_1_img_in_image_box_776_251_1103_540.jpg,a pair of zebra wireless headphones.
page_16_12_img_in_image_box_72_240_2140_911.jpg,a diagram showing how to plan a project.
page_12_9_img_in_image_box_1114_852_1453_1074.jpg,a woman in a lab is talking to another woman.
page_35_39_img_in_image_box_536_89_1826_1238.jpg,digital art selected for the #
page_5_4_img_in_image_box_1_302_892_1111.jpg,an artist ' s rendering of an astronaut floating in space.
page_19_15_img_in_image_box_296_222_2160_1237.jpg,a screenshot of a website.
page_28_28_img_in_image_box_1624_482_2174_859.jpg,contest entry # 9 for design a brochure for a medical company
page_2_1_img_in_image_box_0_300_893_1112.jpg,a collage of photos of a waterfall and a mountain.
page_5_2_img_in_image_box_256_139_2066_1150.jpg,the king and queen art print
page_22_18_img_in_image_box_679_0_2150_1235.jpg,a screenshot of the website.
page_10_6_img_in_chart_box_0_0_2199_1182.jpg,the complete graphic design bundle
page_4_3_img_in_image_box_0_300_893_1111.jpg,a collage of different types of animals.
page_26_22_img_in_image_box_1112_862_1378_1123.jpg,a red circle with a fire symbol on it
