filename,page,extracted_text,prompt,caption
page_10_6_img_in_chart_box_0_0_2199_1182.jpg,10,,Describe this image in detail:,describe this image in detail :
page_11_7_img_in_image_box_1683_0_2200_524.jpg,11,,Describe this image in detail:,describe this image in detail : service.
page_12_10_img_in_image_box_1560_435_1896_649.jpg,12,,Describe this image in detail:,describe this image in detail :
page_12_8_img_in_image_box_680_349_1060_672.jpg,12,,Describe this image in detail:,describe this image in detail :
page_12_9_img_in_image_box_1114_852_1453_1074.jpg,12,,Describe this image in detail:,describe this image in detail :
page_13_11_img_in_image_box_392_311_1714_1059.jpg,13,川Presentation Article Factsheet PX Wire Video Newsletter Brochure Blog Post,Context: 川Presentation Article Factsheet PX Wire Video Newsletter Brochure Blog Post. Describe this image:,context : 川 presentation article factsheet px wire video newsletter brochure blog post. describe this image :
page_16_12_img_in_image_box_72_240_2140_911.jpg,16,What did they achieve? ♦ Users Who is their guide?their plan into action?Howwould they put ♦ What plan What is their did they have? quest? 口口O 0 司口 PROTAGONIST PROBLEM GUIDE PLAN ACTION (or failure)SU,Context: What did they achieve? ♦ Users Who is their guide?their plan into action?Howwould they put ♦ What plan What is their did they have? quest? 口口O 0 司口 PR. Describe this image:,context : what did they achieve? ♦ users who is their guide? their plan into action? howwould they put ♦ what plan what is their did they have? quest? 口 口 o 0 司 口 pr. describe this image :.
page_17_13_img_in_image_box_84_237_2151_1025.jpg,17,CLIMAX PLOTPOINT2 PLOT POINT 1 MIDPOINT INCITINGINCIDENT THE PLOT SETUP CONFRONTATION RESOLUTION,Context: CLIMAX PLOTPOINT2 PLOT POINT 1 MIDPOINT INCITINGINCIDENT THE PLOT SETUP CONFRONTATION RESOLUTION. Describe this image:,context : climax plotpoint2 plot point 1 midpoint incitingincident the plot setup confrontation resolution. describe this image :
page_18_14_img_in_image_box_82_242_2150_1026.jpg,18,Success / Failure Designers Vitaly Plan 三 Problem Actions .0…………Climax Midpoint Inciting Incident Plot Point 1 Plot Point 2 THE PLOT SETUP CONFRONTATION RESOLUTION,Context: Success / Failure Designers Vitaly Plan 三 Problem Actions .0…………Climax Midpoint Inciting Incident Plot Point 1 Plot Point 2 THE PLOT SETUP CONFRONTATI. Describe this image:,context : success / failure designers vitaly plan 三 problem actions. 0 … … … … climax midpoint inciting incident plot point 1 plot point 2 the plot setup confrontati. describe this image :.
page_19_15_img_in_image_box_296_222_2160_1237.jpg,19,EMAATINTEWACE OESION PATTEMNS About the Course Table of Contents FreePr VIDEO COURSE WORKSHOP Joh video +lvet Oat the courser caning SMART Starts ot $275 INTERFACE DESIGN 0Q PATTERNS OPENING SCENE VIT,Context: EMAATINTEWACE OESION PATTEMNS About the Course Table of Contents FreePr VIDEO COURSE WORKSHOP Joh video +lvet Oat the courser caning SMART Starts ot $. Describe this image:,context : emaatintewace oesion pattemns about the course table of contents freepr video course workshop joh video + lvet oat the courser caning smart starts ot $. describe this image :.
page_1_0_img_in_image_box_1169_347_2199_1236.jpg,1,,Describe this image in detail:,describe this image in detail :
page_20_16_img_in_image_box_970_1_1852_1238.jpg,20,"Get once,watch forever. New videos added regularly. Agrowing libraryof video lessons& 17412027OTO examplesWith lessonavlale now,and more added every few Designing for Touch Accordions UX Navigation UX","Context: Get once,watch forever. New videos added regularly. Agrowing libraryof video lessons& 17412027OTO examplesWith lessonavlale now,and more added every f. Describe this image:","context : get once, watch forever. new videos added regularly. agrowing libraryof video lessons & 17412027oto exampleswith lessonavlale now, and more added every f. describe this image :."
page_21_17_img_in_image_box_964_1_1860_1233.jpg,21,"That's what these wonderful people say about the course! Zars Cooper Drad Froat Sara Soueidan SeoeDroper sujpjo ""Bestpracticesenyoped""oupocosanos Smar Inrace Desin Pati an lovemesomecoponentsEfective ","Context: That's what these wonderful people say about the course! Zars Cooper Drad Froat Sara Soueidan SeoeDroper sujpjo ""Bestpracticesenyoped""oupocosanos Smar. Describe this image:","context : that ' s what these wonderful people say about the course! zars cooper drad froat sara soueidan seoedroper sujpjo "" bestpracticesenyoped "" oupocosanos smar. describe this image :."
page_22_18_img_in_image_box_679_0_2150_1235.jpg,22,"asdevelopebinginvolvedinUintfedesgn usabilirytestingandperformanceopimizaion I loveourwonderfcommunity,ando lovewriting articles about theweb.speakingworkshopping and teachingI'mthe editorinchief and ","Context: asdevelopebinginvolvedinUintfedesgn usabilirytestingandperformanceopimizaion I loveourwonderfcommunity,ando lovewriting articles about theweb.speaking. Describe this image:","context : asdevelopebinginvolvedinuintfedesgn usabilirytestingandperformanceopimizaion i loveourwonderfcommunity, ando lovewriting articles about theweb. speaking. describe this image :. com."
page_25_19_img_in_chart_box_216_343_1974_940.jpg,25,,Describe this image in detail:,describe this image in detail :
page_26_20_img_in_image_box_1113_104_1378_366.jpg,26,口 口,Describe this image in detail:,describe this image in detail :
page_26_21_img_in_image_box_1113_483_1377_745.jpg,26,办♦□□☆,Describe this image in detail:,describe this image in detail :
page_26_22_img_in_image_box_1112_862_1378_1123.jpg,26,,Describe this image in detail:,describe this image in detail :
page_27_23_img_in_image_box_216_675_414_858.jpg,27,,Describe this image in detail:,describe this image in detail :
page_27_24_img_in_image_box_663_356_1010_724.jpg,27,V,Describe this image in detail:,describe this image in detail :
page_27_25_img_in_image_box_1243_443_1491_639.jpg,27,,Describe this image in detail:,describe this image in detail :
page_27_26_img_in_image_box_1702_581_2060_952.jpg,27,D,Describe this image in detail:,describe this image in detail :
page_28_27_img_in_image_box_1243_423_1491_614.jpg,28,,Describe this image in detail:,describe this image in detail :
page_28_28_img_in_image_box_1624_482_2174_859.jpg,28,Acv bivouμe ελnia. angoAdnonug nOOORTUKT Δcv δivour chnde ipoldnomuy,Context: Acv bivouμe ελnia. angoAdnonug nOOORTUKT Δcv δivour chnde ipoldnomuy. Describe this image:,context : acv bivouμe ελnia. angoadnonug nooortukt δcv δivour chnde ipoldnomuy. describe this image :.
page_28_29_img_in_image_box_72_626_586_838.jpg,28,,Describe this image in detail:,describe this image in detail : i ' m not a woman.
page_28_30_img_in_image_box_606_308_771_532.jpg,28,,Describe this image in detail:,describe this image in detail : a little boy is smiling.
page_28_31_img_in_image_box_798_309_957_531.jpg,28,,Describe this image in detail:,describe this image in detail :
page_28_32_img_in_image_box_986_309_1149_530.jpg,28,unicef,Describe this image in detail:,describe this image in detail : is listed ( or ranked ) 4 on the list the best african children ' s books
page_29_33_img_in_image_box_13_231_2191_1107.jpg,29,LUTIONS ARIAOMETRNE SA After'scryptographic security I want to trust technologyto and blockchain foundation safeguardmyassetsanddistrbue provides a way for safe.them according to my exact secure trans,Context: LUTIONS ARIAOMETRNE SA After'scryptographic security I want to trust technologyto and blockchain foundation safeguardmyassetsanddistrbue provides a wa. Describe this image:,context : lutions ariaometrne sa after ' scryptographic security i want to trust technologyto and blockchain foundation safeguardmyassetsanddistrbue provides a wa. describe this image :.
page_30_34_img_in_chart_box_215_343_1974_940.jpg,30,,Describe this image in detail:,describe this image in detail :
page_31_35_img_in_chart_box_414_171_1784_1179.jpg,31,,Describe this image in detail:,describe this image in detail : the problem.
page_32_36_img_in_image_box_180_317_2017_959.jpg,32,"users' needs videos set Vitaly's role tools learning fast,real-time examples,experienced getting the best lessons a friendly and blackboard, notes, teacher, UX expert,in UX/UI, and hungry for knowledg","Context: users' needs videos set Vitaly's role tools learning fast,real-time examples,experienced getting the best lessons a friendly and blackboard, notes, te. Describe this image:","context : users ' needs videos set vitaly ' s role tools learning fast, real - time examples, experienced getting the best lessons a friendly and blackboard, notes, te. describe this image :."
page_33_37_img_in_image_box_618_163_1671_1140.jpg,33,VIDEO COURSE ＷORKS HOP SMART INTERFACE DESIGN PATTERNS with VITALY FRIEDMAN,Context: VIDEO COURSE ＷORKS HOP SMART INTERFACE DESIGN PATTERNS with VITALY FRIEDMAN. Describe this image:,context : video course hop smart interface design patterns with vitaly friedman. describe this image :
