filename,caption
page_7_4_img_in_image_box_1172_347_2200_1238.jpg,an illustration of a mountain with a moon and stars on it.
page_12_10_img_in_image_box_1560_435_1896_649.jpg,a man wearing a face mask with the word mom on it.
page_32_36_img_in_image_box_180_317_2017_959.jpg,"a diagram of the kitchen with the words "" videos set """
page_29_33_img_in_image_box_13_231_2191_1107.jpg,a brochure with the words truth on it
page_25_19_img_in_chart_box_216_343_1974_940.jpg,a red circle with the word deliver on it.
page_20_16_img_in_image_box_970_1_1852_1238.jpg,a website with a blue background that says the website on it.
page_27_23_img_in_image_box_216_675_414_858.jpg,a red circle with the number 9 on it
page_3_1_img_in_image_box_716_88_1465_1190.jpg,a phone with the word crypto on the screen
page_34_38_img_in_image_box_490_246_1701_1063.jpg,a book cover for smart interface design patterns.
page_31_35_img_in_chart_box_414_171_1784_1179.jpg,"a blue circle with the words "" the problem "" on it"
page_17_13_img_in_image_box_84_237_2151_1025.jpg,a diagram of conflict between two circles and one that says conflict.
page_1_0_img_in_image_box_16_638_703_1221.jpg,a collection of photos are hanging up on a wall.
page_28_27_img_in_image_box_1243_423_1491_614.jpg,an illustration of a brain with a lightbulb above it
page_1_0_img_in_image_box_85_581_505_910.jpg,a diagram of the structure of hairless skin.
page_8_5_img_in_image_box_81_269_2117_1066.jpg,a red circle with the word design on it
page_28_32_img_in_image_box_986_309_1149_530.jpg,the cover of the book the girl in red is titled ' save the children '
page_33_37_img_in_image_box_618_163_1671_1140.jpg,a book cover for smart interface design patterns.
page_2_1_img_in_image_box_339_126_765_375.jpg,a diagram of the anatomy of a human brain.
page_28_31_img_in_image_box_798_309_957_531.jpg,a woman wearing a blue and green head scarf smiles at the camera.
page_11_7_img_in_image_box_1683_0_2200_524.jpg,an advertisement for a service that says service on it.
page_39_41_img_in_image_box_1163_91_2200_1237.jpg,a colorful drawing of a chicken with a rainbow in the background.
page_6_5_img_in_image_box_0_302_893_1111.jpg,a fish swims in an aquarium with a coral reef in the background.
page_18_14_img_in_image_box_82_242_2150_1026.jpg,a diagram of a conflict between italy and plan point 2.
page_28_29_img_in_image_box_72_626_586_838.jpg,a woman is smiling at the camera and the words do not cross on it.
page_1_0_img_in_image_box_1169_347_2199_1236.jpg,a drawing of a mountain with a cloud on the top.
page_4_3_img_in_image_box_82_124_700_450.jpg,a diagram of the structure of a muscle structure.
page_3_2_img_in_table_box_84_125_764_288.jpg,a page from a book called roughing.
page_27_26_img_in_image_box_1702_581_2060_952.jpg,a red circle with a lightbulb and arrows pointing to the right.
page_26_21_img_in_image_box_1113_483_1377_745.jpg,a red circle with a sword on it.
page_3_2_img_in_image_box_0_302_893_1110.jpg,a view of the city of chicago at night.
page_38_40_img_in_image_box_85_272_878_1032.jpg,an advertisement for the narrative web storytelling applied to ubud design.
page_13_11_img_in_image_box_392_311_1714_1059.jpg,the word fact is on the top left of the page.
page_21_17_img_in_image_box_964_1_1860_1233.jpg,a screenshot of a website with the word smart on it.
page_27_24_img_in_image_box_663_356_1010_724.jpg,a pink circle with a lightbulb on it.
page_26_20_img_in_image_box_1113_104_1378_366.jpg,a red circle with a ring and a halo on it.
page_27_25_img_in_image_box_1243_443_1491_639.jpg,an illustration of a brain with a lightbulb above it.
page_6_3_img_in_image_box_4_0_2197_1236.jpg,"a person is holding a phone that has the words "" updating events & webrs "" on it."
page_28_30_img_in_image_box_606_308_771_532.jpg,a young boy is smiling at the camera and he is wearing a black shirt.
page_12_8_img_in_image_box_680_349_1060_672.jpg,a woman is holding a baby and smiling.
page_30_34_img_in_chart_box_215_343_1974_940.jpg,a red circle with the word deliver on it.
page_1_0_img_in_image_box_116_279_546_806.jpg,a man wearing a black jacket that says juju spray on it.
page_1_1_img_in_image_box_776_251_1103_540.jpg,a pair of zebra wireless headphones sits on a white surface.
page_16_12_img_in_image_box_72_240_2140_911.jpg,a diagram with the words plan on it
page_12_9_img_in_image_box_1114_852_1453_1074.jpg,a woman in a lab is talking to another woman.
page_35_39_img_in_image_box_536_89_1826_1238.jpg,an illustration of some items including a bottle of perfume.
page_5_4_img_in_image_box_1_302_892_1111.jpg,an astronaut is flying in space next to a planet with other planets.
page_19_15_img_in_image_box_296_222_2160_1237.jpg,a screen shot of a smart home design pattern
page_28_28_img_in_image_box_1624_482_2174_859.jpg,an advertisement for a book called the world health organization.
page_2_1_img_in_image_box_0_300_893_1112.jpg,"a collage of photos with a waterfall, trees, and mountains."
page_5_2_img_in_image_box_256_139_2066_1150.jpg,a painting of a crocodile and a crown is hanging on a wall.
page_22_18_img_in_image_box_679_0_2150_1235.jpg,"a black and red screen with the word "" mobile "" on it."
page_10_6_img_in_chart_box_0_0_2199_1182.jpg,a chart with the words the purpose and resolutions on it
page_4_3_img_in_image_box_0_300_893_1111.jpg,a collage of different animals including a cheetah and a zebra.
page_26_22_img_in_image_box_1112_862_1378_1123.jpg,a red circle with the word fire on it.
