filename,page,extracted_text,prompt,caption
page_10_6_img_in_chart_box_0_0_2199_1182.jpg,10,,"Describe this image in detail, focusing on key elements and their relationships",a picture of the five fundamentals of storytelling
page_11_7_img_in_image_box_1683_0_2200_524.jpg,11,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a woman reading a book with stars on it
page_12_10_img_in_image_box_1560_435_1896_649.jpg,12,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a group of people sitting around each other
page_12_8_img_in_image_box_680_349_1060_672.jpg,12,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a woman holding a baby in her arms
page_12_9_img_in_image_box_1114_852_1453_1074.jpg,12,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a group of people standing around a sink
page_13_11_img_in_image_box_392_311_1714_1059.jpg,13,川Presentation Article Factsheet PX Wire Video Newsletter Brochure Blog Post,"Based on this context: '川Presentation Article Factsheet PX Wire Video Newsletter Brochure Blog Post', describe this image in detail",a picture of a bunch of different types of paper on a pink background
page_16_12_img_in_image_box_72_240_2140_911.jpg,16,What did they achieve? ♦ Users Who is their guide?their plan into action?Howwould they put ♦ What plan What is their did they have? quest? 口口O 0 司口 PROTAGONIST PROBLEM GUIDE PLAN ACTION (or failure)SU,"Based on this context: 'What did they achieve? ♦ Users Who is their guide?their plan into action?Howwould they put ♦ What plan What is their did they have? quest? 口口O 0 司口 PROTAGONIST PROBLEM GUIDE PLAN ACTION (or failure)SU', describe this image in detail",a picture of a diagram showing the steps in the process of making a cake
page_17_13_img_in_image_box_84_237_2151_1025.jpg,17,CLIMAX PLOTPOINT2 PLOT POINT 1 MIDPOINT INCITINGINCIDENT THE PLOT SETUP CONFRONTATION RESOLUTION,"Based on this context: 'CLIMAX PLOTPOINT2 PLOT POINT 1 MIDPOINT INCITINGINCIDENT THE PLOT SETUP CONFRONTATION RESOLUTION', describe this image in detail",a picture of a diagram showing the steps in which a person is doing different tasks
page_18_14_img_in_image_box_82_242_2150_1026.jpg,18,Success / Failure Designers Vitaly Plan 三 Problem Actions .0…………Climax Midpoint Inciting Incident Plot Point 1 Plot Point 2 THE PLOT SETUP CONFRONTATION RESOLUTION,"Based on this context: 'Success / Failure Designers Vitaly Plan 三 Problem Actions .0…………Climax Midpoint Inciting Incident Plot Point 1 Plot Point 2 THE PLOT SETUP CONFRONTATION RESOLUTION', describe this image in detail",a picture of a diagram showing the stages of the root cycle
page_19_15_img_in_image_box_296_222_2160_1237.jpg,19,EMAATINTEWACE OESION PATTEMNS About the Course Table of Contents FreePr VIDEO COURSE WORKSHOP Joh video +lvet Oat the courser caning SMART Starts ot $275 INTERFACE DESIGN 0Q PATTERNS OPENING SCENE VIT,"Based on this context: 'EMAATINTEWACE OESION PATTEMNS About the Course Table of Contents FreePr VIDEO COURSE WORKSHOP Joh video +lvet Oat the courser caning SMART Starts ot $275 INTERFACE DESIGN 0Q PATTERNS OPENING SCENE VIT', describe this image in detail",a picture of an image of a website page with a diagram of what it looks like
